Comment,Designator,Footprint,LCSC Part #
5.1k,R1,0603,C23186
5.1k,R2,0603,C23186
0R,R3,0402,C17168
0R,R4,0402,C17168
100nF,C1,0402,C1525
100nF,C2,0402,C1525
15pF,C3,0402,C1548
10uF,C4,0805,C15850
10uF,C5,0805,C15850
100nF,C8,0402,C1525
PESD5V0S1BA,D1,SOD-323,C19224
PESD5V0S1BA,D2,SOD-323,C19224
PESD5V0S1BA,D3,SOD-323,C19224
PESD5V0S1BA,D4,SOD-323,C19224
LED_Blue,LED1,0603,C2288
LED_Red,LED2,0603,C2286
B3U-1100P-B,SW1,SMD,C4364316
12401610E4#2A,J1,SMD,C5119948
S2B-PH-SM4-TB,JP1,SMD,C295747
BM83SM1-00AA,U1,SMD,C1558669
